algorithm_name,size,solution,generations,time,conflicts
hill_climbing,8,"[1, 6, 2, 0, 2, 4, 7, 3]",168,0.0009975433349609375,2
simulated_annealing,8,"[2, 6, 3, 1, 7, 5, 0, 2]",1000,0.030515670776367188,1
genetic,8,"[2, 5, 3, 1, 7, 4, 6, 0]",470,6.406095027923584,0
genetic2,8,"[1, 2, 5, 7, 0, 5, 3, 5]",999,13.12462043762207,5
hill_climbing,8,"[4, 6, 0, 5, 7, 1, 3, 2]",224,0.001314401626586914,1
simulated_annealing,8,"[4, 2, 0, 6, 1, 7, 5, 3]",487,0.014950037002563477,0
genetic,8,"[2, 5, 7, 1, 3, 0, 2, 6]",1000,13.65157675743103,2
genetic2,8,"[5, 3, 4, 0, 7, 7, 4, 1]",999,12.998512744903564,5
hill_climbing,8,"[2, 4, 1, 5, 0, 6, 3, 7]",224,0.0013577938079833984,1
simulated_annealing,8,"[7, 0, 3, 1, 6, 5, 2, 4]",1000,0.030735492706298828,1
genetic,8,"[4, 7, 3, 0, 6, 1, 5, 2]",35,0.4749643802642822,0
genetic2,8,"[3, 7, 2, 5, 6, 0, 5, 5]",999,12.973144292831421,5
hill_climbing,8,"[7, 1, 3, 6, 0, 2, 5, 5]",224,0.0013191699981689453,2
simulated_annealing,8,"[7, 4, 1, 5, 2, 6, 6, 3]",1000,0.030509233474731445,1
genetic,8,"[2, 5, 1, 4, 7, 0, 6, 3]",76,1.0344994068145752,0
genetic2,8,"[1, 5, 1, 4, 6, 1, 3, 7]",999,12.936174392700195,5
hill_climbing,8,"[0, 7, 4, 1, 5, 2, 1, 6]",224,0.0013222694396972656,2
simulated_annealing,8,"[7, 2, 4, 6, 0, 3, 5, 1]",1000,0.03083062171936035,1
genetic,8,"[5, 7, 1, 3, 0, 6, 4, 2]",65,0.8840532302856445,0
genetic2,8,"[5, 2, 7, 6, 4, 2, 1, 7]",999,13.085670948028564,6
hill_climbing,8,"[5, 2, 4, 1, 7, 0, 6, 3]",280,0.0016303062438964844,1
simulated_annealing,8,"[3, 1, 7, 4, 6, 0, 2, 5]",607,0.018659114837646484,0
genetic,8,"[6, 4, 1, 5, 0, 2, 4, 7]",1000,13.604216814041138,1
